"","Tauro-a-Muricholic acid","Tauroursodeoxycholic acid","Taurocholic acid","Glycoursodeoxycholic acid","Glycohyodeoxycholic acid","Glycocholic acid","Taurochenodeoxycholic acid","Taurodeoxycholic acid","Cholic acid","Ursodeoxycholic acid","Glycochenodeoxycholic acid","Glycodeoxycholic acid","Taurolithocholic acid","Chenodeoxycholic acid","Deoxycholic acid","Glycolithocholic acid","Lithocholic acid","Tyrosocholic acid","Phenylalanocholic acid","Leucholic acid","Ala-triHydroxylated BA","Arg-dihydroxylated BA","Arg-triHydroxylated BA","Asn-dihydroxylated BA 1","Asn-dihydroxylated BA 2","Asn-triHydroxylated BA","Cys-dihydroxylated BA","Cys-triHydroxylated BA","Gln-dihydroxylated BA","Gln-triHydroxylated BA","Glu-dihydroxylated BA","Glu-triHydroxylated BA","His-triHydroxylated BA","Lys-dihydroxylated BA","Lys-triHydroxylated BA","Met-triHydroxylated BA","Phe-dihydroxylated BA","Ser-dihydroxylated BA","Ser-triHydroxylated BA","Trp-triHydroxylated BA","Tyr-dihydroxylated BA"
"74",461.21,11258.04,312238.54,4377.26,8.61,78225.14,121676.28,43660.92,721318.81,16236.9,12456.36,10664.66,2105.41,241880.54,108933.04,203.51,0.03,901.6,386.68,156.65,85.72,557.49,990.2,49.3,27.21,303.12,80.41,26.61,600.83,155.6,420.44,114.56,30.58,600.73,1752.51,38.3,91.17,561.29,472.78,55.5,279.8
"75",307.59,10764.2,509340.86,22082.05,40.11,657452.17,327801.77,180840.31,42707.28,785.47,702272.84,332687.57,6084.9,30056.81,15944.15,275.69,0.04,0.09,0.2,0.92,86.41,255.89,34.93,332.6,9.58,294.55,13.84,45.5,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,388.15,324.45,0.01,0.01
"76",255.48,5555.32,341906.25,808.34,33.64,28564.52,114568.33,103378.75,262941.8,2908.87,3004.2,5239.76,1890.01,103137.25,61627.49,14.46,10445.78,291.36,6.29,0.73,69.92,78.9,169.4,277.83,86.01,278.15,13.63,15.04,319.22,7.37,123.57,5.34,0.01,104.74,180.91,11.21,0.01,368.87,269.89,0.01,79.78
"77",0.06,8.93,438.68,41.96,14.88,702.37,209.03,199.9,16319.53,792.02,546.38,462.53,5.51,3671.77,16790.06,0.09,968.26,0.72,0.85,0.75,0.01,0,0,0.01,31.02,0,5.74,0.01,77.63,0.01,291.8,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01
"78",0.1,31.2,1913.83,110.39,11.31,3854.57,1185.54,401.01,1059.56,44.01,5141.68,1122.08,7.54,241.18,2207.64,4.14,255.57,0.54,0.23,0.65,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0.01,9.92,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01
"79",288.35,4707.15,297055.24,57.33,0.35,1897.28,91503.75,60901.88,182720.39,1353.73,974.92,521.95,2203.56,40488.76,29647.71,3.05,24.23,616.95,243.74,0.66,66.57,1293.12,959.64,238.01,0.01,465.7,0.01,21.32,18.85,6.58,0,16.21,32.31,237.42,1010.33,9.2,56.55,379.22,315.53,0.01,190.64
"80",459.59,72.23,277435.75,250.36,10.05,3955.92,1299.45,14769.5,459617.21,3090.91,1451.9,744.72,110.55,100940.41,59681.71,3.95,4992.58,807.81,209.14,0.19,76.87,1079.19,680.83,243.92,88.59,444.43,29.05,72.71,428.23,61.03,268.26,61.05,24,149.77,290.3,27.69,7.56,526.96,720.37,0.01,135.94
"81",536.7,6666.64,384475.67,273.97,8.42,6976.12,43795.75,96350.8,977754.57,8946.27,8301.83,3211.76,3669.69,347274.25,217097.94,22.1,1374.06,232,141.52,0.44,26.27,2874.67,1018.12,150.84,50.51,216.93,13.03,14.66,228.09,18.69,178.15,12.43,0.01,253.35,146.92,47.79,18.62,328.56,243.03,8.56,106.96
"82",200.67,1788.74,115904.76,309.25,9.93,13713.22,22828.75,34157.03,1375560.14,14541.19,17103.9,6195.07,2419.98,531983.92,365398.99,30.49,1729.56,769.75,335.34,26.24,174.86,1848.3,369.1,322.89,281.16,431.48,27.63,0.01,1317.3,212.5,873.14,119.73,73.73,866.27,1206.38,119.91,123.11,561.22,418.64,23.1,375.53
"83",120.59,2119.08,168252.55,1207.89,15.49,55542.62,43466.87,30260.26,57639.37,467.15,4831.42,3384.24,47.23,13461.87,5516.01,9.73,0.1,25.37,0.89,0.17,8.88,135.51,34.66,15.41,0.01,32.08,0.01,20.56,7.97,8.04,29.57,0.01,0.01,0.01,0,0.01,0.01,86.41,137.91,31.64,0.01
"84",277.57,2260.79,171706.19,2505.67,2.74,59558.03,40556.14,38397.37,72628.27,997.26,11276.37,7203.56,234.97,17789.14,11348.34,42.73,800.9,9.12,0.14,0.06,5.74,9.22,0,51.85,10.08,80.76,18.45,0.01,24.15,0.01,0,5.02,0.01,0.01,0,0.01,0.01,34.49,34.65,0.01,0.01
"85",92.96,3.68,491.17,0.02,9.61,12.78,35.66,33.22,7675.93,579.4,1.93,6.56,0.02,1005.94,4137.95,0.29,408.11,53.47,0.75,0.86,0.01,5.44,0,7.6,61.27,48.78,5.74,0.01,380.71,111.33,191.97,31.08,4.99,0.01,0,0.01,0.01,29.04,0,0.01,8.59
"86",18.79,168.47,20803.54,106.12,19.54,2706.67,5208.33,4923.21,472121.9,5647.28,8358.96,2000.37,383.59,298429.62,127023.41,33.62,1139.35,202.37,148.04,0.01,90.03,283.97,21.65,202.86,422.5,155.26,7.12,0.01,745.53,59.57,340.74,6.7,0.01,696.33,719.06,57.32,87.19,344.27,213.84,0.01,131.71
"87",513.35,1648.17,560756.6,1283.84,25.59,36755.31,42795.76,107050.97,413595.16,1822.98,2424.7,2296.9,3351.25,80118.16,37014.88,30.49,0.03,206.19,24.99,0.81,74.02,668.88,574,127.26,66.58,283.28,7.75,53.29,315.89,17.88,73.65,0.01,0.01,9.43,20.78,25.11,6.9,426.57,332.57,0.01,38.98
"88",1055.29,340.79,40202.38,150.39,7.93,13217.62,8345.24,9679.14,1565938.68,9914.9,9942.7,3249.9,810.67,385628.41,240666.77,30.32,2046.53,1377.35,707.88,9.66,115.29,447.02,124.14,238.27,291.7,468.27,32.85,105.16,1929.96,362.33,545.37,52.22,64.22,248.99,413.87,419.61,161.75,313.65,248.44,162.29,419.38
"89",22.87,6.14,742.55,0.01,0.47,67.72,202.97,125.39,117.85,51.01,17.43,5.56,6.31,40.33,3850.15,0.03,10878.52,10.07,0.09,0.78,0.01,0,0,0.01,0.01,16.95,6.27,0.01,0,0.01,13.31,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01
"90",361.5,17670.12,393538.57,6651.67,26.04,182067.83,367750.89,91054.4,606782.22,16839.72,184281.63,52148.39,5788.97,407976.38,93812.46,252.47,871.3,3325.93,1656,663.27,435.59,15942.05,6153.59,559.86,16.97,698.7,360.06,53.33,148.42,58.68,0,9.06,197.96,1027.85,4732.41,9.92,165.01,1140.04,1634.54,184.44,654.64
"91",784.25,52425.53,425630.66,21037.18,99.98,191844.01,463824.85,122437.51,1359647.92,62536.42,247442.2,83857.23,13519.04,1227258.12,321167.11,662.09,1177.22,2934.08,887.9,133.86,387.91,17056.89,5273.62,1393.87,154.88,1905.76,10.14,132.16,225.45,30.67,105.65,14.14,214.39,1683.32,3242.15,70.13,191.45,1751.41,2106.28,178.53,772.48
"92",294.33,11496.38,12487.76,2857.92,38.62,24684.38,11073.85,3371.94,925326.22,38149.12,48839.4,10495.5,1923.73,545068.13,178369.82,231.35,1537.56,5447.52,2705.57,860.29,15.16,364.36,804.74,1177.73,108.86,1686.29,10.41,18.9,119.18,110.34,581.01,525.07,1013.48,5559.81,7932.87,27.71,625.43,1235.36,1138.41,0.01,1552.99
"93",395.32,624.67,8888.38,315.01,7.65,3044.94,5061.22,1988.24,578003.06,27155.18,5536.2,1025.22,62.47,298695.79,81858.04,14.54,1248.11,234.53,177.23,0.79,116.04,63.3,11.25,263.52,340.12,402.58,56.27,0.01,1802.84,301.54,1205.29,171.41,9.62,63.7,34.18,201.51,11.8,231.13,410.4,14.81,200.97
